neighborhood,price,city
Astoria,"$1,400 ",roomi nyc
Astoria,$850 ,roomi nyc
Astoria,"$1,000 ",roomi nyc
Astoria,"$1,550 ",roomi nyc
Astoria,"$1,700 ",roomi nyc
Astoria,"$1,612 ",roomi nyc
Astoria,"$1,900 ",roomi nyc
Astoria,"$1,650 ",roomi nyc
Astoria,"$1,400 ",roomi nyc
Bay Ridge,"$1,215 ",roomi nyc
Bay Ridge,"$1,250 ",roomi nyc
Bay Ridge,"$1,500 ",roomi nyc
Bay Ridge,"$1,050 ",roomi nyc
Bay Ridge,"$1,550 ",roomi nyc
Bay Ridge,$566 ,roomi nyc
Bay Ridge,$900 ,roomi nyc
Bay Ridge,"$1,200 ",roomi nyc
Bay Ridge,$875 ,roomi nyc
Bay Ridge,"$1,700 ",roomi nyc
Bedford Stuyvesant,"$1,250 ",roomi nyc
Bedford Stuyvesant,$770 ,roomi nyc
Bedford Stuyvesant,"$1,350 ",roomi nyc
Bedford Stuyvesant,"$2,000 ",roomi nyc
Bedford Stuyvesant,"$1,150 ",roomi nyc
Bedford Stuyvesant,"$1,499 ",roomi nyc
Bedford Stuyvesant,$900 ,roomi nyc
Bedford Stuyvesant,"$1,825 ",roomi nyc
Bedford Stuyvesant,"$1,250 ",roomi nyc
Bedford Stuyvesant,$950 ,roomi nyc
Bedford Stuyvesant,$800 ,roomi nyc
Bedford Stuyvesant,"$1,200 ",roomi nyc
Bedford Stuyvesant,"$1,200 ",roomi nyc
Bedford Stuyvesant,"$1,075 ",roomi nyc
Bedford Stuyvesant,"$1,000 ",roomi nyc
Bedford Stuyvesant,"$3,200 ",roomi nyc
Bedford Stuyvesant,"$1,000 ",roomi nyc
Bedford Stuyvesant,"$1,132 ",roomi nyc
Bedford Stuyvesant,"$1,000 ",roomi nyc
Bedford Stuyvesant,"$1,400 ",roomi nyc
Bedford Stuyvesant,"$3,000 ",roomi nyc
Bedford Stuyvesant,"$1,750 ",roomi nyc
Bedford Stuyvesant,"$1,485 ",roomi nyc
Bedford Stuyvesant,$975 ,roomi nyc
